video_id,author,comment,likes,published
CPWxExGk7PM,@SteeleBlade,Who’s here because of the Fortnite emote? 😂,0,2025-04-21T22:19:05Z
CPWxExGk7PM,@collector737,the synth notes at 2:02 is inspired by a Nintendo 64 game called Mystical Ninja starring Goemon  (Oedo Town),0,2025-04-21T21:30:03Z
CPWxExGk7PM,@Jolane9ueen,She is a star,0,2025-04-21T17:08:52Z
CPWxExGk7PM,@rimeisboring_13,Summer song,3,2025-04-21T16:03:13Z
CPWxExGk7PM,@PedroPaulo-p5w,A minha cara no escuro: 🌚🌝🌚🌝🌚🌝🌚🌝🌚🌝🌚🌝🌚🌝,0,2025-04-21T01:21:50Z
CPWxExGk7PM,@shinsanghee21,"hu hu 후후, ^_^ this song is so much cutie music, and so much goergeous appearance Charli xcx!!",0,2025-04-20T06:59:17Z
CPWxExGk7PM,@KathleenLaxamana-yv6uu,I only ask you ask this is so good I love the song and my mom loves it. Everybody loves it and I hope you always do it every day every day every day is a dream day for you.,0,2025-04-19T06:28:46Z
CPWxExGk7PM,@Itsme._gh,People say this carried the summer or some stuff. No. Shaboozey and hozier did,0,2025-04-19T03:10:36Z
CPWxExGk7PM,@Juniper_berries,"This is why I prefer ""chip off the old block"".",1,2025-04-18T20:35:51Z
CPWxExGk7PM,@Derpanzer_VonTsar,Nga sued roblox over a dance 🥀,5,2025-04-18T15:40:37Z
CPWxExGk7PM,@Mr_Morgan,"👎 because of flashy screen my eyes hurt bad. you had to be careful about that, it can trigger  epilepsy.",0,2025-04-18T09:01:53Z
CPWxExGk7PM,@SILVER_C4T,The dance to Apple is kinda like Jisoos flower,1,2025-04-18T00:52:13Z
CPWxExGk7PM,@sevavideos809,Es un temazo,0,2025-04-18T00:45:50Z
CPWxExGk7PM,@Mrluxury-official,"UK Nostalgia, plus Charli needs to make a music video for this",4,2025-04-17T15:09:32Z
CPWxExGk7PM,@Moon.0987,2025 now😢,3,2025-04-17T12:58:57Z
CPWxExGk7PM,@th3yh8_jadennn,2024 nostalgia,13,2025-04-16T18:39:25Z
CPWxExGk7PM,@YouFavouriteToastOfBread,Can we all agree that 2024 summer was probably the most iconic summer yet like y'all the vibes of 2024 summer is something no other summer could beat <3,25,2025-04-16T15:36:35Z
CPWxExGk7PM,@Pato_Cuack,manzanita sol type shit,0,2025-04-16T07:07:19Z
